
"VEST","E001","Alice Smith","ISO-001","2021-01-01","299.750"
"VEST","E002","Bobby Jones","ISO-002","2019-01-01","234.000"
"VEST","E001","Alice Smith","ISO-001","2021-01-01","299.750"
"VEST","E002","Bobby Jones","ISO-002","2019-01-01","234.000"
"VEST","E001","Alice Smith","ISO-001","2021-01-01","299.750"
"VEST","E002","Bobby Jones","ISO-002","2019-01-01","234.000"
"VEST","E001","Alice Smith","ISO-001","2020-01-01","0.000"
"VEST","E002","Bobby Jones","ISO-002","2019-01-01","234.000"
"VEST","E001","Alice Smith","ISO-001","2021-01-01","299.75"
"VEST","E002","Bobby Jones","ISO-002","2019-01-01","234.00"
"VEST","E001","Alice Smith","ISO-001","2021-01-01","299.75"
"VEST","E002","Bobby Jones","ISO-002","2019-01-01","234.00"
